==================================================================
RAPPORT DES MAIRES SANS CORRESPONDANCE AVEC LES CIRCONSCRIPTIONS
==================================================================

Date: ven. 14 nov. 2025 17:13:07

Nombre total de maires dans le CSV: 29491
Nombre de maires insérés dans la base: 27660
Nombre de maires NON insérés: 1831

==================================================================
ANALYSE PAR RÉGION
==================================================================

Combinaisons Région-Département-Circonscription présentes dans le CSV mais ABSENTES de la table circonscriptions:

- Hauts-de-France | Dept: 60 (Oise) | Circo: 5e circo | Maires concernés: 111
- Hauts-de-France | Dept: 60 (Oise) | Circo: 6e circo | Maires concernés: 125
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo:  | Maires concernés: 15
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 10e circo | Maires concernés: 32
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 11e circo | Maires concernés: 71
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 1ere circo | Maires concernés: 29
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 2e circo | Maires concernés: 164
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 3e circo | Maires concernés: 88
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 4e circo | Maires concernés: 15
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 5e circo | Maires concernés: 41
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 6e circo | Maires concernés: 69
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 7e circo | Maires concernés: 64
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 8e circo | Maires concernés: 10
- Hauts-de-France | Dept: 62 (Pas-de-Calais) | Circo: 9e circo | Maires concernés: 73
- Hauts-de-France | Dept: 80 (Somme) | Circo:  | Maires concernés: 194
- Hauts-de-France | Dept: 80 (Somme) | Circo: 1ere circo | Maires concernés: 1
- Hauts-de-France | Dept: 80 (Somme) | Circo: 2e circo | Maires concernés: 1
- Hauts-de-France | Dept: 80 (Somme) | Circo: 3e circo | Maires concernés: 4
- Hauts-de-France | Dept: 80 (Somme) | Circo: 4e circo | Maires concernés: 44
- Hauts-de-France | Dept: 80 (Somme) | Circo: A verifier | Maires concernés: 509
- Ile-de-France | Dept: 77 (Seine-et-Marne) | Circo:  | Maires concernés: 3
- Ile-de-France | Dept: 77 (Seine-et-Marne) | Circo: 1ere circo | Maires concernés: 33
